Question,Answer
Who are you?,"I am Nomi, your smart travel agent in the Cosmo Millennial app."
What is Cosmo Millennial?,Cosmo Millennial is an AI-powered travel-leisure app for personalized recommendations.
What does Cosmo Millennial do?,It curates travel suggestions based on your interests and style.
Is Cosmo Millennial free to use?,"Yes, the app is completely free with no hidden charges."
How do I sign up?,You need to create an account to save your preferences and picklists.
How do I log in?,Use your registered email and password to log in to the app.
Is my personal data safe?,Cosmo Millennial follows strict privacy practices and does not sell your data.
Can I use Cosmo Millennial on my phone?,"Currently, Cosmo Millennial is available as a web app only."
Tell me about Cosmo Millennial?,"Cosmo Millennial is an AI-powered travel-leisure app that curates personalized recommendations based on your vibe, interests, and travel style."
how to use the app?,"Select a city, choose your travel vibe and style, and let the app generate customized suggestions. Save your favorites into a picklist for download or sharing."
is Cosmo Millennial free?,Yes! Cosmo Millennial is completely free to use with no hidden charges.
do I need to create an account?,"Yes, signing up is required and helps you save your picklists and preferences."
what is a picklist?,A picklist is your custom travel wishlist. You can save recommended places and download the list as a PDF to use anytime.
can I share my picklist?,Absolutely! You can share your downloaded PDF picklist with friends or fellow travelers.
how do I find restaurants in a city?,"Select your destination and vibe. The app will recommend top-rated restaurants based on your style, budget, and preferences."
does the app show ratings?,"Yes, you can see user ratings, reviews, and cost levels for each recommendation."
what travel styles are available?,"You can opt for  budget, luxury or unique experiences"
what travel thrills could I choose?,"Travel thrills are all those adventure activities you enjoy when traveling, like kayaking, skiing, hiking, surfing and more."
can I plan group trips?,"Yes, create a picklist and share it with your group to make planning together easier."
can I use Cosmo Millennial offline?,"While browsing requires internet, your picklists can be downloaded for offline access."
what types of places does the app recommend?,"The app recommends restaurants, cafes, scenic spots, wellness experiences, gift shops, adventure rentals, and more."
is the app good for spontaneous trips?,"Yes! Just select your location and vibe, and get quick, relevant suggestions for a day out."
how often is the app updated?,The app is regularly updated to include new user-requested features.
does Cosmo Millennial have international destinations?,"Yes, the app provides customized suggestions about destinations anywhere in the world."
can I suggest a place to be added?,Yes! Use the contact form on the website or app to suggest a local spot you'd love others to discover.
how do recommendations work?,The AI uses your vibe and preferences to filter and sort local options that best match your travel goals.
how can I explore hidden gems?,"Nomi prioritizes local favorites and lesser-known gems over tourist traps, helping you uncover authentic experiences."
does the app include event listings?,Event listings are currently not included in select cities. More dynamic experiences are coming soon!
is there a way to favorite or bookmark places?,Yes! Just add them to your picklist while browsing to keep track of your top spots.
can I access previous picklists?,"If you’ve created an account, you can revisit and access saved pick lists anytime."
is there a desktop version?,"Currently, Cosmo Millennial is optimized for web use to keep planning quick and easy on the go."
does the app support multi-day planning?,"You can build multi-day picklists manually, and download them as a day-wise travel guide."
can I search restaurants by budget?,"Yes, the app shows the general expense level for each restaurant, so you can filter to fit your budget."
how do I know if a spot is open?,Basic operational hours are shown. Click on the hyperlinked name of the venue which opens the details view. We recommend checking the venue’s official site for the most up-to-date info.
does the app track my location?,Only when you allow it. This helps Nomi make real-time suggestions based on your area.
is my data safe?,"Yes, Cosmo Millennial follows strong data privacy practices and does not sell your information."
what age group is Cosmo Millennial for?,"It’s designed for all travelers but especially appeals to millennials and Gen Z who value curated, local travel experiences."
can I get recommendations near my hotel?,Yes! Just enter your location or enable location access to find nearby experiences.
does Cosmo Millennial help with wellness travel?,"Absolutely. You'll find yoga retreats, meditation spots, spas, and peaceful escapes tailored to wellness seekers."
how do I change my travel vibe?,You can go back to the vibe selector at any time to update your preferences and refresh your recommendations.
what if I want food recommendations only?,"You can filter recommendations by category—restaurants, cafes, etc.—to get food-only results."
is there a social sharing feature?,Social integration is currently not possible. It’s on our roadmap!
can I add my own notes to picklists?,"Yes, you can add custom notes, about the pick list you created."
how can I contact support?,You can visit the Contact section on the website or send a message through the app’s feedback option.
how are the recommendations selected?,"They’re AI-generated based on local data, trends, and your input. Nomi curates them to feel personal and fresh."
can I use the app for business trips?,"Yes! Whether you're traveling for work or fun, Nomi helps you make the most of your free time."
can I print my picklist?,"Yes! The downloadable picklist is in PDF format, which you can print or store on your device."
how long does it take to get recommendations?,Just a few seconds. Cosmo generates a full list based on your preferences almost instantly.
do recommendations include photos?,"Not currently, most listings come with a short description, and key details like website url, open hours and user reviews."
is Cosmo Millennial available on iOS and Android?,Cosmo Millennial is now currently available as a web app only.
is there a way to leave feedback?,"Yes, we welcome your suggestions! Use the contact form on the website to hit us up."
what if I change my city midway?,You can easily go back and select a new destination anytime to receive updated recommendations.
can I customize the number of recommendations?,"Yes, you can generate a short or long list depending on how many places you’d like to explore."
Can I optimize my travel plan?,"Yes, in the end, you can view all your picks on a map, letting you optimize on ones nearby or feasible and drop the ones that are far away."
